BoroCD *,Shape *,FID_STP_NTA_HVI_PGI_REFERENCE,OBJECTID,BoroName,BoroCT2010,PUMA,NTAName,NTACode,Shape_Leng,Borough,ONENYC_HVI,QUINTILES,PGI,PGI_Percent,PGI_High_Low,FID_STP_Neighborhood_Planting_Cycle,BoroCode,BoroName,CommunityBoardWater,CouncilDistrictWater,Zone ID,SUM_Planting_Potential_Cut,Year,Zone_Before,Zone_After,Contract_Area_Percentage,Year_Group,Borough_Year_Group,Phase,Unique,Full_Year,Shape_Length,Shape_Area,Ratio
2532,Polygon,1652,1558,Staten Island,5020801,3901,Rossville-Woodrow,SI32,20664.40759,5,-6.399004,1,<Null>,<Null>,<Null>,418,5,Staten Island,503,51,4,1224,1,64639845.74,<Null>,<Null>,3-Jan,"Staten Island, Year 1-3",Phase 1,ST03514_2027_1,2027,3461.434892,12058.01922,3.483532003
996,Polygon,496,460,Brooklyn,3052300,4001,North Side-South Side,BK73,4994.520191,3,0.334383,3,0.054545,5.45,Low,160,3,Brooklyn,301,34,1,204,6,8063784.573,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK01341_2032_2,2032,2460.569035,12211.03564,4.96268768
3275,Polygon,2105,1970,Queens,4099705,4103,Ft. Totten-Bay Terrace-Clearview,QN47,13561.42692,4,-4.486137,1,0.080454,8.05,High,356,4,Queens,411,19,5,563,4,28570679.75,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN11195_2030_2,2030,1114.901678,12481.22782,11.19491348
3431,Polygon,2195,2055,Brooklyn,3004700,4005,Carroll Gardens-Columbia Street-Red Hook,BK33,9753.777852,3,1.09435,4,0.042902,4.29,Low,168,3,Brooklyn,302,33,1,220,7,9287327.01,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK02331_2033_3,2033,1006.252203,13104.16771,13.02274685
3521,Polygon,2240,2099,Brooklyn,3122000,4008,East New York,BK82,20251.78085,3,1.63871,4,0.114084,11.41,High,183,3,Brooklyn,305,42,2,218,4,24555790.68,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK05422_2030_2,2030,1904.693228,13149.49932,6.903736061
3112,Polygon,2013,1882,Staten Island,5018100,3902,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,32460.16358,5,-9.808475,1,0.046298,4.63,Low,413,5,Staten Island,502,50,6,1186,8,70762946.69,<Null>,<Null>,9-Jul,"Staten Island, Year 7-9",Phase 3,ST02506_2034_3,2034,3644.861629,13240.68045,3.632697698
3239,Polygon,2082,1947,Queens,4008800,4113,Ozone Park,QN56,9319.244319,4,-1.999264,1,0.056965,5.7,Low,350,4,Queens,410,32,7,420,4,52740710.26,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN10327_2030_2,2030,1549.033025,13512.74474,8.723341928
3492,Polygon,2229,2088,Manhattan,1029700,3801,park-cemetery-etc-Manhattan,MN99,20386.58341,1,0,0,0.066377,6.64,High,67,1,Manhattan,112,10,6,142,6,18697291.2,<Null>,<Null>,6-Apr,"Manhattan, Year 4-6",Phase 2,MN12106_2032_2,2032,2059.160934,13745.17887,6.6751358
2854,Polygon,1854,1740,Brooklyn,3102800,4009,Canarsie,BK50,14193.53148,3,-2.861355,1,0.044999,4.5,Low,281,3,Brooklyn,318,46,12,243,4,12922397.15,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK184612_2030_2,2030,1606.40606,14612.81609,9.096589246
2024,Polygon,1320,1241,Queens,4081800,4113,South Ozone Park,QN55,9865.820142,4,0.318527,3,0.056965,5.7,Low,346,4,Queens,410,28,3,540,7,28613614.65,<Null>,<Null>,9-Jul,"Queens, Year 7-9",Phase 3,QN10283_2033_3,2033,2633.886798,14701.23339,5.581573741
